OWNERID,ADOPTIONNUMBER,ANIMALID,ANIMALNAME,BASECOLOURID,BREEDID,BREEDNAME,DATEOFBIRTH,SEX,COMBITESTRESULT,FLVRESULT,DECLAWED,SHELTERLOCATION,DATEBROUGHTIN,MOSTRECENTENTRYDATE,ANIMALAGE,WEIGHT
11990,18234,10148,Foxy Fella,3,261,Domestic Short Hair,8/27/18,1,1,1,0,19,8/28/20,8/28/20,2 years 9 months.,8
11471,16234,8978,Tandy,65,252,Domestic Medium Hair,3/11/13,0,1,1,0,34,3/17/20,3/17/20,8 years 9 months.,6.71
16360,23063,910,Myrna,81,261,Domestic Short Hair,11/4/14,0,1,1,0,2,11/4/15,8/22/21,6 years 10 months.,7.9
4064,6003,910,Myrna,81,261,Domestic Short Hair,11/4/14,0,1,1,0,2,11/4/15,8/22/21,6 years 10 months.,7.9
1104,2777,910,Myrna,81,261,Domestic Short Hair,11/4/14,0,1,1,0,2,11/4/15,8/22/21,6 years 10 months.,7.9
16159,22737,11429,Neil deGrasse Tyson (Freddie Mercury),1,261,Domestic Short Hair,9/6/20,1,1,1,0,10,3/18/21,3/18/21,11 months.,8.4
17826,24896,13331,Doobie,68,252,Domestic Medium Hair,10/19/20,1,1,1,0,8,4/20/22,4/20/22,1 year 6 months.,10.4
16993,23901,12909,French Onion,67,261,Domestic Short Hair,12/7/20,0,1,1,0,24,12/7/21,12/7/21,1 year 0 months.,5.7
14025,24057,10031,Beyonce,3,261,Domestic Short Hair,8/12/15,0,2,1,0,2,8/12/20,12/21/20,6 years 4 months.,7.6
14019,19777,10031,Beyonce,3,261,Domestic Short Hair,8/12/15,0,2,1,0,2,8/12/20,12/21/20,6 years 4 months.,7.6
135,22932,12142,Marie Mjolnir,79,261,Domestic Short Hair,5/12/21,0,1,2,0,19,7/20/21,7/20/21,8 months.,6.3
13112,18598,10174,Texarkana,1,261,Domestic Short Hair,8/31/19,1,1,1,0,8,9/2/20,9/2/20,1 year 9 months.,9.5
9720,14305,8013,Blessing,1,261,Domestic Short Hair,7/29/19,1,1,1,0,33,9/27/19,9/27/19,2 years 0 months.,2.42
17241,24180,5729,Floofia,69,261,Domestic Short Hair,3/31/18,0,1,1,0,19,9/19/18,10/15/21,3 years 9 months.,7.3
15566,22375,5729,Floofia,69,261,Domestic Short Hair,3/31/18,0,1,1,0,19,9/19/18,10/15/21,3 years 9 months.,7.3
7385,10523,5729,Floofia,69,261,Domestic Short Hair,3/31/18,0,1,1,0,19,9/19/18,10/15/21,3 years 9 months.,7.3
14834,23824,12570,King Julien XIII,74,261,Domestic Short Hair,9/6/18,1,2,1,0,10,9/20/21,9/20/21,3 years 10 months.,13.1
16896,23816,12647,Eric Northman,79,261,Domestic Short Hair,10/6/20,1,1,1,0,10,10/14/21,10/14/21,1 year 1 month.,8.8
6338,25269,8544,Gingerbread Man,79,261,Domestic Short Hair,6/17/17,1,1,1,1,31,12/22/19,4/8/22,4 years 11 months.,11.9
11221,16024,8544,Gingerbread Man,79,261,Domestic Short Hair,6/17/17,1,1,1,1,31,12/22/19,4/8/22,4 years 11 months.,11.9
10981,15699,8644,Kiana,1,261,Domestic Short Hair,12/30/18,0,1,1,0,10,12/30/19,12/30/19,2 years 6 months.,6.85
11193,16160,9032,Kombucha,97,252,Domestic Medium Hair,9/30/16,0,1,2,0,35,3/31/20,3/31/20,4 years 10 months.,7.85
5025,6171,3588,Sahara,74,261,Domestic Short Hair,4/25/17,0,1,1,0,4,8/11/17,8/11/17,4 years 4 months.,3.47
13596,19624,10662,Felix,3,261,Domestic Short Hair,10/27/14,1,1,1,0,10,11/4/20,11/4/20,6 years 9 months.,10.2
16119,22659,12036,Roz (Hazel),68,261,Domestic Short Hair,5/17/21,0,1,1,0,31,6/28/21,6/28/21,8 months.,2
17509,24505,12774,Catra,6,261,Domestic Short Hair,7/7/21,0,1,1,0,10,11/3/21,3/12/22,8 months.,9.3
16951,23844,12774,Catra,6,261,Domestic Short Hair,7/7/21,0,1,1,0,10,11/3/21,3/12/22,8 months.,9.3
16195,22829,12066,Magnet,1,252,Domestic Medium Hair,6/30/18,1,1,1,0,9,7/2/21,7/2/21,3 years 1 month.,9.4
16278,22913,9527,Jet,1,261,Domestic Short Hair,4/3/20,1,1,1,0,16,6/12/20,8/2/21,1 year 4 months.,11.9
12344,17462,9527,Jet,1,261,Domestic Short Hair,4/3/20,1,1,1,0,16,6/12/20,8/2/21,1 year 4 months.,11.9
14313,20072,10956,Ludlow,1,261,Domestic Short Hair,9/14/20,1,1,1,0,34,1/1/21,1/1/21,8 months.,4.3
4799,7607,3776,Leah,3,261,Domestic Short Hair,5/12/17,0,1,1,0,9,9/8/17,9/8/17,10 months.,7.68
28,4649,1419,Gertrude,74,261,Domestic Short Hair,8/13/00,0,1,1,0,1,8/12/16,8/12/16,18 years 2 months.,5.31
12885,18432,8289,Clarice,68,261,Domestic Short Hair,10/17/10,0,1,1,1,36,10/27/19,10/27/19,11 years 5 months.,7.6
18244,25592,13565,Trix (Lucy),6,261,Domestic Short Hair,4/21/22,0,1,1,0,34,6/3/22,6/3/22,12 weeks.,2.3
15989,22958,12373,Waverly Squishmallow,68,252,Domestic Medium Hair,8/10/19,0,1,1,0,19,8/16/21,8/16/21,2 years 0 months.,9.6
13791,19457,10736,Purrito,3,252,Domestic Medium Hair,6/6/19,0,1,1,0,9,11/7/20,11/7/20,1 year 5 months.,5.9
14870,20793,11299,BonBonerie,1,261,Domestic Short Hair,9/2/20,0,1,1,0,32,3/1/21,3/1/21,8 months.,5.06
12285,17482,9550,Bayou,3,261,Domestic Short Hair,5/4/20,0,1,1,0,35,6/15/20,6/15/20,11 months.,2.6
9339,13404,7380,Florence,81,261,Domestic Short Hair,5/21/19,0,1,1,0,32,6/27/19,6/27/19,1 year 10 months.,2.3
5567,7507,4340,Omelet,3,261,Domestic Short Hair,11/29/16,0,1,1,0,24,11/29/17,11/29/17,4 years 5 months.,0
16753,23595,12406,Dorris,2,261,Domestic Short Hair,8/10/09,0,1,1,0,34,8/23/21,8/23/21,12 years 3 months.,7.9
3369,23839,12870,Electric Mayhem,68,261,Domestic Short Hair,8/2/21,1,1,1,0,19,11/17/21,11/17/21,8 months.,4.3
10883,15779,8827,Chico,67,261,Domestic Short Hair,2/8/19,1,0,0,0,24,2/8/20,2/8/20,2 years 5 months.,0
16192,23974,12725,Clark,1,261,Domestic Short Hair,9/7/21,1,1,1,0,32,10/19/21,10/19/21,8 months.,3.8
17606,24628,13205,Golden Boy,1,261,Domestic Short Hair,3/21/20,1,1,1,0,10,3/21/22,3/21/22,2 years 0 months.,11.3
6012,10037,5268,Nelson (Sean Casey),68,243,Domestic Long Hair,6/8/18,1,1,1,0,15,7/26/18,7/26/18,3 years 2 months.,1.16
15454,22000,11736,Lisa Cuddy,1,261,Domestic Short Hair,11/7/18,0,1,1,0,11,5/7/21,5/7/21,2 years 7 months.,7.4
14318,24358,9142,Monty,79,261,Domestic Short Hair,5/4/16,1,2,1,0,34,5/2/20,1/18/22,5 years 9 months.,9.3
11494,16373,9142,Monty,79,261,Domestic Short Hair,5/4/16,1,2,1,0,34,5/2/20,1/18/22,5 years 9 months.,9.3
15456,21658,11783,Biggs,67,261,Domestic Short Hair,2/9/21,1,1,1,0,32,5/18/21,5/18/21,8 months.,4.4
16637,23458,12669,Marren,74,252,Domestic Medium Hair,10/6/20,0,0,0,0,24,10/5/21,10/5/21,1 year 2 months.,6.5
11345,16143,8933,Odin,1,261,Domestic Short Hair,3/6/19,1,1,1,0,3,3/10/20,3/10/20,2 years 1 month.,9.3
13225,22207,11645,Apple Bottom Jeans,68,261,Domestic Short Hair,3/29/21,1,1,1,0,19,4/25/21,4/25/21,8 months.,3.4
3987,13974,7783,Pepper,3,261,Domestic Short Hair,6/4/19,1,1,1,0,32,8/6/19,8/6/19,1 year 10 months.,3.49
11729,9740,5223,Faith,85,315,Siamese Mix,1/2/18,0,1,1,0,10,6/30/18,6/30/18,2 years 9 months.,7.36
14594,20414,11182,Roy Lichtenstein,69,261,Domestic Short Hair,2/4/19,1,1,1,0,3,2/1/21,3/5/21,2 years 1 month.,8.4
1443,3756,1297,Bubbles,66,261,Domestic Short Hair,4/20/16,0,1,1,0,4,6/15/16,6/15/16,4 years 11 months.,2.62
14045,19750,10808,Candied Yam (Miles),79,261,Domestic Short Hair,10/8/20,1,1,1,0,35,11/19/20,11/19/20,25 weeks.,2.6
17253,24572,13139,Snap Pea,3,261,Domestic Short Hair,2/28/21,0,1,1,0,10,2/28/22,2/28/22,1 year 0 months.,6
9377,18651,10321,Whitney,3,261,Domestic Short Hair,3/19/20,0,1,1,0,2,9/9/20,9/9/20,1 year 4 months.,0
17274,24206,12959,Odd Future,74,261,Domestic Short Hair,12/21/19,1,1,1,0,8,12/28/21,12/28/21,2 years 1 month.,10
15873,22288,9905,Nancy Drew,68,261,Domestic Short Hair,3/25/20,0,1,1,0,8,8/3/20,6/4/21,1 year 3 months.,6.4
12629,17916,9905,Nancy Drew,68,261,Domestic Short Hair,3/25/20,0,1,1,0,8,8/3/20,6/4/21,1 year 3 months.,6.4
8624,12222,6829,Helvetica (Gigi),64,261,Domestic Short Hair,8/29/17,0,1,1,0,10,2/27/19,2/27/19,3 years 8 months.,8.48
8678,15809,7991,Twix,69,261,Domestic Short Hair,9/4/09,0,0,0,0,17,9/6/19,9/6/19,11 years 10 months.,11.9
16462,23194,12508,Pink Moon (Emi),66,261,Domestic Short Hair,4/27/20,0,1,1,0,9,8/28/21,8/28/21,1 year 10 months.,8.6
15187,21196,11467,Dennis Duffy,62,252,Domestic Medium Hair,3/21/19,1,1,1,0,2,3/24/21,3/24/21,2 years 1 month.,9.4
13787,21096,11427,Quigley,3,261,Domestic Short Hair,9/12/19,1,1,1,0,9,3/17/21,3/17/21,1 year 7 months.,9.5
15015,20988,11403,Waka Waka (Eiffey),68,261,Domestic Short Hair,6/1/20,0,1,1,0,2,3/10/21,3/10/21,1 year 3 months.,7.1
15915,25417,13434,Coconut Kate,74,261,Domestic Short Hair,7/10/21,0,1,1,0,9,5/10/22,5/10/22,11 months.,5.8
15634,21930,11818,Surly Straggler (Josh),68,261,Domestic Short Hair,5/16/14,1,2,1,1,19,5/24/21,5/24/21,7 years 8 months.,11.6
16061,22648,12076,Galaxy Slime,1,261,Domestic Short Hair,4/23/21,1,1,1,0,31,7/6/21,7/6/21,8 months.,2.6
15985,22458,11907,Fair Pear,3,261,Domestic Short Hair,6/4/20,0,1,1,0,8,6/8/21,6/8/21,1 year 2 months.,7.9
3526,4365,1538,LeeAnn,81,243,Domestic Long Hair,3/22/16,0,1,1,0,5,10/13/16,10/13/16,5 years 2 months.,7.39
18165,25493,13365,Boomchickapop,90,261,Domestic Short Hair,4/26/22,1,1,1,0,34,4/26/22,4/26/22,12 weeks.,2.3
16091,22893,12213,Mr. Green,68,261,Domestic Short Hair,7/21/19,1,0,0,0,24,7/21/21,7/21/21,2 years 1 month.,10.9
16449,23171,12258,Elastigirl,64,261,Domestic Short Hair,7/20/20,0,1,1,0,10,7/26/21,7/26/21,1 year 2 months.,7.1
1246,3255,1122,Monsignor Meow (Zuko),63,243,Domestic Long Hair,3/9/14,1,1,1,0,9,3/9/16,3/9/16,7 years 2 months.,8.52
16911,23795,12775,Loo-Kee,96,261,Domestic Short Hair,7/7/21,1,1,1,0,34,11/3/21,11/3/21,8 months.,6.3
17455,24433,13073,Dorothy Vaughn (Beanie),65,261,Domestic Short Hair,8/23/21,0,1,1,0,19,2/18/22,2/18/22,8 months.,5.1
9884,21100,10649,Brice,67,261,Domestic Short Hair,10/26/14,1,2,1,0,19,10/27/20,10/27/20,6 years 9 months.,12.1
17877,25100,12749,Shagbark,97,261,Domestic Short Hair,10/26/17,1,1,1,0,10,10/26/21,4/19/22,4 years 7 months.,16.4
17155,24096,12749,Shagbark,97,261,Domestic Short Hair,10/26/17,1,1,1,0,10,10/26/21,4/19/22,4 years 7 months.,16.4
879,2158,680,Santana,1,252,Domestic Medium Hair,4/16/15,1,1,1,0,4,5/27/15,5/27/15,6 years 1 month.,4.38
14249,21368,11371,Prickly Pear,68,261,Domestic Short Hair,3/9/21,1,2,1,0,32,3/9/21,3/9/21,8 months.,1.9
15052,21047,11392,Romulus,62,252,Domestic Medium Hair,6/9/20,1,1,1,0,2,3/14/21,3/14/21,1 year 0 months.,8.9
11199,22914,12095,Abe Great,75,261,Domestic Short Hair,4/29/21,1,1,1,0,17,7/8/21,7/8/21,8 months.,5.2
11357,16293,7957,Tonks (DinaTonks),3,243,Domestic Long Hair,8/20/06,0,1,1,0,10,9/23/19,9/23/19,14 years 3 months.,6.85
3790,4514,2516,Tripper,62,261,Domestic Short Hair,8/31/16,1,1,1,0,4,11/21/16,11/21/16,4 years 8 months.,4.58
12148,21225,11419,Shoofly,87,315,Siamese Mix,2/10/21,0,1,1,0,32,3/10/21,3/10/21,9 months.,2.8
16252,22936,11283,Yarrow,1,261,Domestic Short Hair,2/20/14,0,1,1,1,19,3/1/21,3/1/21,7 years 6 months.,15.9
15268,21303,11632,Guy Gardner,1,261,Domestic Short Hair,6/8/20,1,1,1,0,32,4/22/21,4/22/21,1 year 2 months.,8.8
16872,23740,11946,Dry Bones,96,252,Domestic Medium Hair,4/26/21,1,1,1,0,19,6/14/21,6/14/21,8 months.,5.25
15484,21709,11713,Square Enix,74,261,Domestic Short Hair,3/24/21,0,1,1,0,32,5/5/21,5/5/21,8 months.,2.1
10405,25221,13441,Raspberry Torte,1,261,Domestic Short Hair,3/17/22,0,1,1,0,19,5/11/22,5/11/22,17 weeks.,2.4
17971,25204,13444,Lemon Meringue,62,261,Domestic Short Hair,3/17/22,0,1,1,0,19,5/11/22,5/11/22,17 weeks.,2.7
7508,15386,8551,Peter Pettigrew,3,261,Domestic Short Hair,8/26/19,1,1,1,0,31,12/16/19,12/16/19,2 years 10 months.,4.4
1062,2651,930,Georgia,82,243,Domestic Long Hair,11/20/14,0,1,1,0,2,11/20/15,11/20/15,6 years 8 months.,7.4
12248,17360,9502,Rush,68,261,Domestic Short Hair,6/9/19,1,1,1,0,3,6/19/20,6/19/20,1 year 2 months.,9.7
6014,18094,9341,Tang,69,261,Domestic Short Hair,5/22/15,1,1,1,0,2,5/25/20,5/25/20,6 years 2 months.,8.6
14169,19900,9904,Mustang Sally,63,261,Domestic Short Hair,5/13/19,0,1,1,0,2,8/18/20,8/18/20,2 years 1 month.,9.7
16712,23567,12517,Melephant Brooks,81,261,Domestic Short Hair,3/29/21,0,1,2,0,35,9/14/21,9/14/21,8 months.,6.7
15594,23564,11001,Cassandra,81,261,Domestic Short Hair,5/6/19,0,1,1,0,19,1/18/21,1/18/21,3 years 2 months.,10.9
17262,24231,9822,Laramie,68,261,Domestic Short Hair,7/15/08,0,1,1,0,19,7/24/20,4/14/21,13 years 6 months.,13.6
11048,20589,9822,Laramie,68,261,Domestic Short Hair,7/15/08,0,1,1,0,19,7/24/20,4/14/21,13 years 6 months.,13.6
17196,24125,12865,German Mustard,62,243,Domestic Long Hair,6/1/21,0,1,2,0,35,11/18/21,11/18/21,8 months.,5.5
8754,12481,7084,Belladonna,68,261,Domestic Short Hair,5/14/10,0,1,1,1,5,5/8/19,5/8/19,10 years 6 months.,5.84
14224,19964,10803,Copperfield (Kimchi),97,261,Domestic Short Hair,5/22/13,1,1,1,0,10,11/25/20,11/25/20,9 years 1 month.,12.2
14618,21739,11540,Big Bang,69,261,Domestic Short Hair,4/1/21,0,1,1,0,32,4/1/21,4/1/21,8 months.,2.6
14970,21173,10896,Barry (Harry),69,261,Domestic Short Hair,12/3/07,1,1,1,1,19,12/9/20,12/9/20,13 years 9 months.,15
17526,24515,13179,Baddy Longlegs,75,261,Domestic Short Hair,7/1/21,0,0,0,0,24,3/13/22,3/13/22,1 year 0 months.,0
7795,12641,1092,Ginger,97,252,Domestic Medium Hair,2/19/14,0,1,1,1,2,2/19/16,12/30/18,8 years 4 months.,9.27
1034,10064,1092,Ginger,97,252,Domestic Medium Hair,2/19/14,0,1,1,1,2,2/19/16,12/30/18,8 years 4 months.,9.27
1197,3042,1092,Ginger,97,252,Domestic Medium Hair,2/19/14,0,1,1,1,2,2/19/16,12/30/18,8 years 4 months.,9.27
15771,22189,11640,Angry Avocado (Jack),68,261,Domestic Short Hair,4/8/21,1,1,1,0,19,4/26/21,4/26/21,8 months.,2.6
17627,24642,13157,Greta Thunberg,3,252,Domestic Medium Hair,1/18/22,0,1,1,0,19,3/5/22,3/5/22,6 months.,3
15969,22593,11108,Sophie Fremiet,1,261,Domestic Short Hair,2/2/14,0,1,1,0,9,2/1/21,2/1/21,7 years 6 months.,12
16608,23384,12477,Calaboose Cal,68,261,Domestic Short Hair,8/13/21,1,1,1,0,19,8/23/21,8/23/21,8 months.,2.3
14390,20989,11309,Holtman,68,261,Domestic Short Hair,3/2/20,1,1,2,0,35,3/2/21,3/2/21,1 year 6 months.,8.3
13793,19556,10720,Frezza,68,261,Domestic Short Hair,8/25/18,0,2,1,0,2,11/7/20,11/7/20,3 years 10 months.,8.4
13622,21911,11604,March Wind,68,261,Domestic Short Hair,3/27/21,1,1,1,0,32,4/14/21,4/14/21,8 months.,2.6
14505,20322,11048,Mrs. Hughes,1,261,Domestic Short Hair,1/13/20,0,1,1,0,9,1/13/21,1/13/21,1 year 0 months.,6.9
16371,23044,12481,Castlevania,1,261,Domestic Short Hair,8/25/18,1,1,1,0,19,9/20/21,9/20/21,3 years 1 month.,11.9
13904,23157,12440,Winkin,96,261,Domestic Short Hair,4/27/21,1,1,1,0,19,8/20/21,9/17/21,8 months.,3.8
16376,23081,12440,Winkin,96,261,Domestic Short Hair,4/27/21,1,1,1,0,19,8/20/21,9/17/21,8 months.,3.8
17534,24577,13092,Balmain (Pudding),1,261,Domestic Short Hair,8/21/19,0,1,1,0,10,2/18/22,2/18/22,2 years 7 months.,6.9
9288,22898,12217,Georgia Dream,82,261,Domestic Short Hair,3/29/21,0,1,2,0,35,8/5/21,8/5/21,6 months.,4.1
14249,20006,10944,Bubbly,82,261,Domestic Short Hair,9/13/20,0,1,1,0,35,12/23/20,12/23/20,8 months.,3.6
13725,19420,10639,Black Swan,1,261,Domestic Short Hair,9/7/20,0,1,1,0,35,10/27/20,10/27/20,8 months.,2.8
17818,24876,13098,Mr. Beauregard,68,261,Domestic Short Hair,2/18/21,1,1,1,0,10,2/21/22,3/22/22,1 year 2 months.,10.4
17463,24439,13098,Mr. Beauregard,68,261,Domestic Short Hair,2/18/21,1,1,1,0,10,2/21/22,3/22/22,1 year 2 months.,10.4
11738,16583,7675,Koko (Gus),106,315,Siamese Mix,4/3/19,1,1,1,0,19,8/2/19,5/20/20,2 years 11 months.,9.2
9487,13694,7675,Koko (Gus),106,315,Siamese Mix,4/3/19,1,1,1,0,19,8/2/19,5/20/20,2 years 11 months.,9.2
16187,22831,12044,Needleman,74,261,Domestic Short Hair,6/7/21,1,1,1,0,32,6/28/21,6/28/21,8 months.,2.6
16708,23526,12658,Andy Bellefleur,90,261,Domestic Short Hair,7/15/21,1,1,1,0,19,10/7/21,10/7/21,8 months.,3.9
15840,22238,12137,Phoebe,64,243,Domestic Long Hair,4/28/21,0,1,1,0,31,7/9/21,7/9/21,8 months.,2.5
17515,24568,13113,Date Palm,1,261,Domestic Short Hair,5/19/21,1,1,1,0,10,2/19/22,2/19/22,10 months.,8.9
11665,16431,9196,Wash,107,319,Snowshoe Mix,4/15/20,1,1,1,0,35,5/13/20,5/13/20,1 year 2 months.,2.1
11424,16233,7163,Doodle (Reese),64,261,Domestic Short Hair,5/1/13,0,1,1,0,32,5/29/19,11/16/19,9 years 2 months.,5.43
7984,14353,7163,Doodle (Reese),64,261,Domestic Short Hair,5/1/13,0,1,1,0,32,5/29/19,11/16/19,9 years 2 months.,5.43
15103,21101,11458,Valerie Bertinelli,62,261,Domestic Short Hair,1/23/21,0,1,1,0,32,3/20/21,3/20/21,1 year 5 months.,2.5
13156,21013,9477,Sussex,68,261,Domestic Short Hair,4/23/20,0,1,1,0,8,6/4/20,4/1/21,1 year 3 months.,7
12226,17197,9477,Sussex,68,261,Domestic Short Hair,4/23/20,0,1,1,0,8,6/4/20,4/1/21,1 year 3 months.,7
18076,25464,13529,Shrubby Cinquefoil,96,261,Domestic Short Hair,5/26/17,0,1,1,0,16,5/26/22,5/26/22,5 years 1 month.,7.9
17434,24403,13007,Travis Wheatly,74,261,Domestic Short Hair,1/20/19,1,1,1,0,3,1/27/22,2/24/22,3 years 1 month.,11.3
8033,24356,13007,Travis Wheatly,74,261,Domestic Short Hair,1/20/19,1,1,1,0,3,1/27/22,2/24/22,3 years 1 month.,11.3
13627,19350,10430,Nelson,3,261,Domestic Short Hair,8/19/15,1,1,1,0,19,9/21/20,9/21/20,5 years 2 months.,12.9
15027,21021,9358,Schuckle,6,261,Domestic Short Hair,4/29/20,0,1,1,0,8,5/27/20,4/1/21,1 year 3 months.,10.3
12226,17196,9358,Schuckle,6,261,Domestic Short Hair,4/29/20,0,1,1,0,8,5/27/20,4/1/21,1 year 3 months.,10.3
13409,18969,10315,Willadeene,64,261,Domestic Short Hair,8/5/20,0,1,1,0,35,9/11/20,9/11/20,8 months.,2
16106,22652,12028,Bunny (Celine),63,261,Domestic Short Hair,5/3/21,0,1,1,0,19,6/28/21,6/28/21,8 months.,2.1
13845,21742,11694,Mirage,74,261,Domestic Short Hair,3/23/21,1,1,1,0,32,5/4/21,5/4/21,8 months.,2.5
14949,20943,11366,Mark Hoppus,75,261,Domestic Short Hair,1/12/21,1,1,1,0,32,3/10/21,3/10/21,8 months.,2.7
14901,21123,11325,Moerlein,3,261,Domestic Short Hair,3/2/19,0,2,1,0,24,2/28/21,2/28/21,2 years 1 month.,0
15898,22326,12151,Dashing Through the Snow,69,261,Domestic Short Hair,3/29/21,1,1,1,0,32,7/10/21,7/10/21,8 months.,3.7
17724,24766,13231,Share Bear,90,261,Domestic Short Hair,3/25/21,1,1,2,0,35,3/25/22,3/25/22,1 year 1 month.,8.9
10224,14713,8281,Alakazam (Chewie),67,261,Domestic Short Hair,10/13/18,1,1,1,0,10,11/5/19,11/5/19,3 years 4 months.,8.6
17271,24193,12961,Posh Spice,3,261,Domestic Short Hair,5/1/20,0,1,1,0,2,12/29/21,12/29/21,2 years 2 months.,7.8
17343,24288,13031,Rolex,3,261,Domestic Short Hair,7/29/20,1,1,1,0,19,1/27/22,1/27/22,1 year 6 months.,7.2
17618,24682,13156,Jane Goodall,3,261,Domestic Short Hair,3/5/21,0,1,1,0,5,3/5/22,3/5/22,1 year 1 month.,7.6
13934,25111,13449,Custard Kitty,3,261,Domestic Short Hair,5/13/21,0,2,1,0,19,5/11/22,5/11/22,1 year 0 months.,8
